id,Product,Speed,Traffic,Service,Duration_month
1,TDLTE,40960,20480,TDLTE,1
2,TDLTE,40960,46080,TDLTE,1
3,TDLTE,40960,102400,TDLTE,1
4,TDLTE,40960,51200,TDLTE,3
5,TDLTE,40960,39254,TDLTE,6
6,TDLTE,40960,42667,TDLTE,12
7,شاهین,20480,215040,VDSL,12
8,شاهین,30720,322560,VDSL,3
9,شاهین,51200,483840,VDSL,1
10,شاهین,51200,483840,VDSL,3
11,چیتا,20480,268800,FTTH,1
12,چیتا,20480,268800,FTTH,3
13,چیتا,51200,591360,FTTH,1
14,چیتا,51200,591360,FTTH,3
15,چیتا,51200,591360,FTTH,12
16,ترنج,4096,80640,ADSL,1
17,ترنج,4096,80640,ADSL,12
18,ترنج,16384,322560,ADSL,1
19,ترنج,16384,322560,ADSL,3
20,ترنج,16384,322560,ADSL,6
21,ترنج,16384,322560,ADSL,12
22,نارنج,512,1076,ADSL,3
23,نارنج,1024,2151,ADSL,1
24,ترنج,8192,161280,ADSL,1
25,ترنج,8192,161280,ADSL,3
26,ترنج,8192,161280,ADSL,6
27,ترنج,8192,161280,ADSL,12
28,زیتون,8192,32256,ADSL,3
29,زیتون,8192,32256,ADSL,6
30,زیتون,8192,32256,ADSL,12
31,زیتون,16384,64512,ADSL,1
32,زیتون,16384,64512,ADSL,3
33,نارنج,2048,4300,ADSL,1
34,زیتون,4096,16128,ADSL,1
35,زیتون,4096,16128,ADSL,3
36,زیتون,4096,16128,ADSL,6
37,زیتون,8192,32256,ADSL,1
38,زیتون,16384,64512,ADSL,6
39,زیتون,16384,64512,ADSL,12
40,سیمرغ PTMP,4096,20480,PTMP,1
41,سیمرغ PTMP,8192,30720,PTMP,1
42,سیمرغ PTMP,16384,40960,PTMP,1
43,سیمرغ PTMP,16384,163840,PTMP,6
44,سیمرغ PTMP,20480,122880,PTMP,1
45,سیمرغ PTMP,30720,30720,PTMP,1
46,سیمرغ PTMP,30720,30720,PTMP,3
47,سیمرغ PTMP,30720,30720,PTMP,12
48,سیمرغ PTMP,30720,102400,PTMP,1
49,سیمرغ PTMP,30720,204800,PTMP,1
50,سیمرغ PTMP,40960,40960,PTMP,1
51,سیمرغ PTMP,40960,40960,PTMP,3
52,سیمرغ PTMP,40960,122880,PTMP,1
53,سیمرغ PTMP,51200,51200,PTMP,12
54,سیمرغ PTMP,51200,153600,PTMP,1
55,سیمرغ PTMP,51200,153600,PTMP,3
56,سیمرغ PTMP,51200,153600,PTMP,12
57,سیمرغ PTMP,51200,307200,PTMP,1
58,سیمرغ کابلی,20480,122880,کابلی,1
59,سیمرغ کابلی,30720,30720,کابلی,12
60,سیمرغ کابلی,51200,51200,کابلی,3
